row.id,Scoring,Start,Start_Frame,Stop,Stop_Frame,duration,Subject,Behaviour,Value,trial
444,goggle_MaP_Dunni_2021-11-25 15-16-11,719.35,43161,,,,Dunni,Inspection behind screen,Inspection behind opaque,2
445,goggle_MaP_Dunni_2021-11-25 15-16-11,800.5,48030,845.9833333,50759,45.48333333,Dunni,Trial ,3,3
446,goggle_MaP_Dunni_2021-11-25 15-16-11,801.15,48069,,,,Dunni,First look,First look opaque,3
447,goggle_MaP_Dunni_2021-11-25 15-16-11,801.15,48069,801.9166667,48115,0.766666667,Dunni,Looking target,Duration looking opaque,3
448,goggle_MaP_Dunni_2021-11-25 15-16-11,802.2,48132,803.1166667,48187,0.916666667,Dunni,Looking target,Duration looking transparent,3
449,goggle_MaP_Dunni_2021-11-25 15-16-11,805.8,48348,808.4833333,48509,2.683333333,Dunni,Looking target,Duration looking opaque,3
450,goggle_MaP_Dunni_2021-11-25 15-16-11,810.8833333,48653,811.4666667,48688,0.583333333,Dunni,Looking target,Duration looking opaque,3
451,goggle_MaP_Dunni_2021-11-25 15-16-11,812.6333333,48758,813,48780,0.366666667,Dunni,Looking target,Duration looking transparent,3
452,goggle_MaP_Dunni_2021-11-25 15-16-11,813.3833333,48803,814.1666667,48850,0.783333333,Dunni,Looking target,Duration looking opaque,3
453,goggle_MaP_Dunni_2021-11-25 15-16-11,815,48900,,,,Dunni,First target choice,First choice opaque,3
454,goggle_MaP_Dunni_2021-11-25 15-16-11,822.9,49374,,,,Dunni,Inspection behind screen,Inspection behind opaque,3
455,goggle_MaP_Dunni_2021-11-25 15-16-11,904.9833333,54299,949.4833333,56969,44.5,Dunni,Trial ,4,4
456,goggle_MaP_Dunni_2021-11-25 15-16-11,905.5,54330,,,,Dunni,First look,First look opaque,4
457,goggle_MaP_Dunni_2021-11-25 15-16-11,905.5,54330,906.95,54417,1.45,Dunni,Looking target,Duration looking opaque,4
458,goggle_MaP_Dunni_2021-11-25 15-16-11,907.6333333,54458,909.4166667,54565,1.783333333,Dunni,Looking target,Duration looking transparent,4
459,goggle_MaP_Dunni_2021-11-25 15-16-11,909.7,54582,912.45,54747,2.75,Dunni,Looking target,Duration looking opaque,4
460,goggle_MaP_Dunni_2021-11-25 15-16-11,914.7333333,54884,915.3833333,54923,0.65,Dunni,Looking target,Duration looking opaque,4
461,goggle_MaP_Dunni_2021-11-25 15-16-11,917.65,55059,917.9833333,55079,0.333333333,Dunni,Looking target,Duration looking transparent,4
